scope,column,notion_type,meaning,units_formula_denominator,source,null_semantics,permissible_inference,owner_field,options
reel,Baseline n,number,Number of account rows used to form the author baseline.,Count; baseline eligibility floor is implementation-defined.,package.private.json reels.properties / frozen Signal release,Null means baseline was unavailable.,Describes baseline support; does not establish independent replication.,false,
reel,Transcript,rich_text,Transcript evidence observation state.,Enum such as NOT_ATTEMPTED or PARTIAL; denominator is Reel rows.,package.private.json reels.properties / frozen Signal release,Null means no state was projected.,Evidence coverage state only; PARTIAL is not verified speech.,false,
reel,Legacy ASR reported words,number,Legacy source-ASR metadata word count when supplied; not recomputed lexical analysis.,Word count; denominator transcript records with a supplied legacy ASR count.,package.private.json reels.properties / frozen Signal release,Null covers missing or legacy-empty source ASR count after staged falsy-to-null normalization; inspect Transcript/Text evidence to distinguish.,"Source metadata coverage only; does not prove speech accuracy, language, or recomputed lexical text.",false,
reel,Frames,rich_text,Frame/source-media evidence state.,Enum; denominator is Reel rows.,package.private.json reels.properties / frozen Signal release,Null means state was not projected.,Evidence state only; does not prove decoded media or scene content.,false,
reel,Frame observation,rich_text,Frame attempt/observation state.,Enum; denominator is Reel rows.,package.private.json reels.properties / frozen Signal release,Null means state was not projected.,Separates attempted/observed frame evidence from missing media.,false,
reel,Final Best,rich_text,Final-Best decision field retained by the projection.,Decision enum; denominator is reviewed eligible rows only.,package.private.json reels.properties / frozen Signal release,UNKNOWN means the gate is unresolved; it is not false.,Do not infer a Best Reel from a diagnostic rank or UNKNOWN state.,false,
reel,Best reason,rich_text,Reason code explaining the Final Best gate state.,Coded explanation; no numeric denominator.,package.private.json reels.properties / frozen Signal release,Null means no reason was supplied.,Explains gate status only; not an editorial claim without review.,false,
reel,Likes per 1k views,number,Like rate normalized to recorded views.,"Likes / Views * 1,000; denominator Views.",package.private.json reels.properties / frozen Signal release,"Null when Views <= 0, Likes unavailable, or frozen release eligibility/numeric/quarantine gates suppress the derived rate; zero means observed zero Likes with valid positive Views.",Descriptive snapshot rate only.,false,
reel,Comments per 1k views,number,Comment rate normalized to recorded views.,"Comments / Views * 1,000; denominator Views.",package.private.json reels.properties / frozen Signal release,"Null when Views <= 0, Comments unavailable, or frozen release eligibility/numeric/quarantine gates suppress the derived rate; zero means observed zero Comments with valid positive Views.",Descriptive snapshot rate only; not sentiment or conversion.,false,
reel,Reshares per 1k views,number,Reshare rate normalized to recorded views.,"Reshares / Views * 1,000; denominator Views.",package.private.json reels.properties / frozen Signal release,"Null when Views <= 0, Reshares unavailable, or frozen release eligibility/numeric/quarantine gates suppress the derived rate; zero means observed zero Reshares with valid positive Views.",Descriptive snapshot rate only; native semantics remain separate.,false,
reel,Saves per 1k views,number,Save rate normalized to recorded views.,"Saves / Views * 1,000; denominator Views.",package.private.json reels.properties / frozen Signal release,"Null when Saves or Views is unknown/invalid, or frozen release eligibility/numeric/quarantine gates suppress the derived rate; zero means observed zero Saves with valid positive Views.",Descriptive snapshot rate only; never zero-impute missing Saves.,false,
reel,Quarantine,rich_text,Conflict/impossibility reason that quarantines a row or field.,Coded reason; denominator is affected rows.,package.private.json reels.properties / frozen Signal release,Empty means no quarantine reason recorded.,Signals data quality handling; does not identify the winning source value.,false,
reel,Save state,rich_text,Observed/missing state for Saves.,Enum; denominator is Reel rows.,package.private.json reels.properties / frozen Signal release,MISSING is explicit unknown; OBSERVED includes zero.,Supports missingness-aware analysis; no imputation.,false,
reel,Text fit candidate,rich_text,Maker-coded M2 relevance candidate for available transcript text.,Enum core/adjacent/excluded/unknown; denominator is transcript records.,package.private.json reels.properties / frozen Signal release,unknown means not classified or no usable text.,Maker-coded candidate; unreviewed labels do not support prevalence or causal claims.,false,
reel,Opening candidate,rich_text,Maker-coded opening/hook orientation candidate.,Categorical label; denominator is word-bearing transcript records.,package.private.json reels.properties / frozen Signal release,unknown/empty means not classified.,Maker-coded candidate; unreviewed labels do not support prevalence or causal claims.,false,
reel,Lexical text words,number,Lexical word count projected from transcript analysis.,Word count; denominator records with analyzed text.,package.private.json reels.properties / frozen Signal release,Null covers missing or legacy-empty transcript analysis after staged falsy-to-null normalization; inspect Transcript/Text evidence to distinguish.,"Supports text-length description only; not audio validity, original language, or scene timing.",false,
reel,Text evidence,rich_text,Reference to the local transcript-analysis record.,Evidence key; no denominator.,package.private.json reels.properties / frozen Signal release,Null means no linked text evidence.,Provides lineage; does not independently verify the text.,false,
reel,Text review,rich_text,Review state for transcript text coding.,Enum; denominator is analyzed transcript rows.,package.private.json reels.properties / frozen Signal release,Null means no review state supplied.,Separates maker coding from independent acceptance.,false,
account,Name,title,Stable account username/title.,String; no denominator.,package.private.json accounts.properties / frozen Signal release,Required for an account row.,Account grouping identity within the source export only.,false,
account,Release,rich_text,Signal release identifier.,Release key; no denominator.,package.private.json accounts.properties / frozen Signal release,Required for provenance.,Binds the account summary to one immutable release.,false,
account,Snapshot,rich_text,Metric snapshot date.,ISO date; no denominator.,package.private.json accounts.properties / frozen Signal release,Required for dated summary.,Dates the summary; not an exact capture timestamp.,false,
account,Reels,number,Number of Reel rows associated with the account.,Count; denominator account rows.,package.private.json accounts.properties / frozen Signal release,Null means count unavailable.,Describes source corpus composition; not account audience size.,false,
account,Observations,number,Number of source observations associated with the account.,Count; denominator account rows.,package.private.json accounts.properties / frozen Signal release,Null means count unavailable.,Describes source-row coverage; duplicates/conflicts remain separate in the ledger.,false,
account,Eligible,number,Number of eligible Reel rows for the account.,Count; denominator Reels for the account.,package.private.json accounts.properties / frozen Signal release,Null means eligibility summary unavailable.,Describes release gate coverage; not content quality.,false,
account,Followers at export,number,Profile follower counter at export time.,Count; no engagement denominator.,package.private.json accounts.properties / frozen Signal release,Null means profile counter unavailable.,Snapshot profile context only; not historical audience exposure.,false,
account,Median views,number,Account median Reel views used by the author baseline.,Views count; denominator account Reel rows included in baseline.,package.private.json accounts.properties / frozen Signal release,Null means baseline unavailable.,Account-relative context; not a stable audience estimate.,false,
account,Baseline n,number,Number of account rows included in the baseline.,Count; baseline denominator.,package.private.json accounts.properties / frozen Signal release,Null means baseline unavailable.,Indicates baseline support only.,false,
account,Hit count,number,Count of rows passing the release diagnostic hit rule.,Count; denominator Hit denominator.,package.private.json accounts.properties / frozen Signal release,Null means hit diagnostic unavailable.,Snapshot diagnostic fraction only; not viral probability or success rate.,false,
account,Hit denominator,number,Rows eligible for the account hit diagnostic.,Count; denominator of Hit fraction.,package.private.json accounts.properties / frozen Signal release,Null means hit diagnostic unavailable.,Defines the diagnostic denominator; does not prove representative performance.,false,
account,Hit fraction,number,Hit count divided by hit denominator.,Hit count / Hit denominator; denominator Hit denominator.,package.private.json accounts.properties / frozen Signal release,Null when denominator is zero/unknown or the frozen account minimum-support gate yields Hit state=INSUFFICIENT_N; zero is an observed fraction only when the gate is met.,Descriptive snapshot diagnostic only.,false,
account,Wilson lower,number,Lower Wilson interval bound for Hit fraction.,Wilson binomial interval; denominator Hit denominator.,package.private.json accounts.properties / frozen Signal release,Null when the denominator is zero/unknown or the frozen account minimum-support gate yields Hit state=INSUFFICIENT_N.,Uncertainty for the diagnostic fraction under its stated approximation; not causal uncertainty.,false,
account,Wilson upper,number,Upper Wilson interval bound for Hit fraction.,Wilson binomial interval; denominator Hit denominator.,package.private.json accounts.properties / frozen Signal release,Null when the denominator is zero/unknown or the frozen account minimum-support gate yields Hit state=INSUFFICIENT_N.,Uncertainty for the diagnostic fraction under its stated approximation; not causal uncertainty.,false,
account,Hit state,rich_text,State/reason for whether account hit statistics are interpretable.,Enum; denominator account rows.,package.private.json accounts.properties / frozen Signal release,Null means state unavailable.,Coverage/status only; not a final account ranking.,false,
account,Eligible transcript records,number,Count of eligible Reels associated with the account for transcript evidence.,Count; denominator eligible Reel rows for the account.,package.private.json accounts.properties / frozen Signal release,Null means eligibility or transcript-evidence summary is unavailable.,Describes sparse transcript-evidence coverage among eligible Reels; not transcript prevalence.,false,
account,Eligible frame sets,number,Count of eligible frame sets associated with the account.,Count; denominator eligible Reel rows.,package.private.json accounts.properties / frozen Signal release,Null means frame evidence unavailable.,Describes frame coverage only; zero does not prove no frames exist.,false,
account,Review candidate,url,Local/projection review candidate link.,URL; no denominator.,package.private.json accounts.properties / frozen Signal release,Null means no review link supplied.,Navigation only; link presence is not review acceptance.,false,
account,Final Best,rich_text,Account-level Final-Best decision state.,Decision enum; denominator reviewed account rows.,package.private.json accounts.properties / frozen Signal release,UNKNOWN means unresolved gate.,Do not infer account quality from an UNKNOWN or diagnostic state.,false,
account,Best reason,rich_text,Account-level Best gate reason.,Coded explanation; no denominator.,package.private.json accounts.properties / frozen Signal release,Null means no reason supplied.,Explains account gate status only.,false,
card,Name,title,Card identity and human-readable title.,String; no denominator.,write-plan.private.json cards.properties / current Cards schema,Required card identity.,Identifies a draft card; does not imply selection or publication.,true,
card,Format,select,Editorial format label.,Enum; no denominator.,write-plan.private.json cards.properties / current Cards schema,Null means format not supplied.,Describes intended editorial form only.,true,"[""M2 Radar"", ""M2 Builds"", ""M2 Teardown""]"
card,Status,select,Owner-controlled card workflow state.,Enum; no denominator.,write-plan.private.json cards.properties / current Cards schema,Null means owner state not supplied; do not infer a default.,Preserve as owner input; Proposed is not approval or publication.,true,"[""Proposed"", ""Taking"", ""Rework"", ""Not taking"", ""Shot"", ""Published""]"
card,Lead,select,Owner-controlled presenter/on-camera assignment.,Enum; no denominator.,write-plan.private.json cards.properties / current Cards schema,Null means owner has not assigned a presenter; never invent a Lead.,Only records the owner choice; it does not prove footage or consent.,true,"[""Misha"", ""Max"", ""Both"", ""Макс"", ""Миша""]"
card,Priority,number,Owner-controlled priority within a format.,Ordinal number; 1 is strongest of its format; no denominator.,write-plan.private.json cards.properties / current Cards schema,Null means owner has not prioritized the card; never invent a number.,Preserve as an owner ordering signal only; not a performance score.,true,
card,Author,text,Original author attribution for the card.,String; no denominator.,write-plan.private.json cards.properties / current Cards schema,For these corpus-synthesis cards use `M2 Lab — original editorial hypothesis`; null only if attribution is unknown.,Attribution/ownership context; does not imply competitor authorship or source copying.,false,
card,Reference,url,Source reference URL when a card is directly built from one source.,URL; no denominator.,write-plan.private.json cards.properties / current Cards schema,Null is correct for corpus-synthesis explanatory bodies; never invent a source URL.,A locator only; null means the card synthesizes multiple functions or has no approved source.,false,
card,Signal,text,Evidence/provenance and limitation summary attached to the card.,Text; no denominator.,write-plan.private.json cards.properties / current Cards schema,Null means no signal summary supplied.,Context for review; does not make a candidate a final Best or validated script.,true,
card,Age at pickup,number,Days old when a radar candidate was proposed.,Days; publication-to-pickup date difference; no denominator.,write-plan.private.json cards.properties / current Cards schema,Null is required when pickup date is not known; do not invent a number for original cards.,Only describes a dated radar pickup; not audience age or content quality.,false,
card,Vs author norm,number,Candidate views relative to the author median.,Ratio; Views / author median views; denominator author median views.,write-plan.private.json cards.properties / current Cards schema,Null is required when no matched author norm exists; do not invent a number for original cards.,Snapshot diagnostic context only; not a causal or viral score.,false,
card,Week,date,Run/date associated with card creation or pickup.,ISO date; no denominator.,write-plan.private.json cards.properties / current Cards schema,Use 2026-09-05 only when draft creation date is known; null otherwise.,Dates the draft/projection run; does not prove publication or activity.,false,
